Transaction_date,Admin_district,Street,Geodesic_precinct,Type_of_law,Transaction_price,Floor_area,Other_area,Price_per_Floor_area,PCC,Year_of_construction,Short_description,Storey,Floor,No_of_storeys,Standard_of_flat,Type_of_other_area,Seller,Buyer
2018-12-31,Kraków - Nowa Huta,Kolorowe,51,własność-u.wieczyste,195000,36.89,,5285.99,zapłacono,,"pokój:1,kuchnia:1,łazienka:1,przedpokój:1",5.0,4 piętro,,,,osoba fizyczna,osoba fizyczna
2018-12-31,Kraków - Krowodrza,Sosnowiecka,34,własność-własność,476138,69.95,,6806.83,nie zapłacono,lata 2010-2019,"pokój:2,pokój z aneksem kuchennym:1,łazienka:1,przedpokój:1",2.0,1 piętro,4,,miejsce postojowe,deweloper,osoba fizyczna
2018-12-31,Kraków - Krowodrza,Stachiewicza Piotra,44,własność-własność,250000,36.97,,6762.24,zapłacono,,"pokój:2,kuchnia:1,łazienka z wc:1,przedpokój:1",2.0,1 piętro,,do remontu kapitalnego,,osoba fizyczna,osoba fizyczna
2018-12-31,Kraków - Krowodrza,Wybickiego Józefa,44,własność-własność,235000,30.0,,7833.33,zapłacono,,"pokój:1,kuchnia:1,łazienka z wc:1,przedpokój:1",7.0,powyżej 5 piętra,,,piwnica,"przeds., spółka, firma",osoba fizyczna
2018-12-31,Kraków - Krowodrza,Zdrowa,44,własność-u.wieczyste,344000,39.82,,8638.87,zapłacono,,"pokój:2,kuchnia:1,łazienka z wc:1,przedpokój:1",4.0,3 piętro,,,,osoba fizyczna,osoba fizyczna
2018-12-31,Kraków - Krowodrza,Glogera Zygmunta,31,własność-własność,277851.54000000004,42.01,,6613.94,nie zapłacono,,"pokój:1,pokój z aneksem kuchennym:1,łazienka z wc:1,przedpokój:1",1.0,parter,,bardzo dobry,miejsce postojowe,deweloper,osoba fizyczna
2018-12-31,Kraków - Krowodrza,Glogera Zygmunta,31,własność-własność,334125,47.97,,6965.29,nie zapłacono,,"pokój:1,pokój z aneksem kuchennym:1,łazienka z wc:1,przedpokój:1",3.0,2 piętro,,bardzo dobry,miejsce postojowe,deweloper,osoba fizyczna
2018-12-31,Kraków - Śródmieście,Szlak,119,własność-własność,770000,60.31,14.86,12767.37,zapłacono,lata 2000-2009,"pokój z aneksem kuchennym:1,łazienka:1,przedpokój:1",5.0,4 piętro,,bardzo dobry,"GARAŻ, komórka lokatorska",spółka prawa handlowego,osoba-jedn. zagraniczna
2018-12-31,Kraków - Śródmieście,Kaczary Jana,22,własność-własność,570000,74.27,,7674.7,nie zapłacono,lata 2010-2019,"pokój:3,pokój z aneksem kuchennym:1,łazienka:1,wc:1,przedpokój:1",2.0,1 piętro,4,,,deweloper,osoba fizyczna
